pmid,overall_rob,excluded_before,publication_types,classification,title
32682361,high,0,Comparative Study; Journal Article; Randomized Controlled Trial,trial,"Comparison of the clinical and sonographic effects of ultrasound therapy, extracorporeal shock wave therapy, and Kinesio"
32699492,high,0,Journal Article,ambiguous,Online Glucose Prediction Using Computationally Efficient Sparse Kernel Filtering Algorithms in Type-1 Diabetes.
32699534,some_concerns,0,Journal Article,ambiguous,Error Measures for Trajectories Estimations with Geo-tagged Mobility Sample Data.
32770731,some_concerns,0,Journal Article,ambiguous,Transcatheter mitral valve repair in patients with chronic liver disease: Insights from the national inpatient sample.
32799975,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Hungarian general practitioners' attitude and the role of education in dementia care.
32839129,some_concerns,0,Journal Article,ambiguous,Outcomes of MitraClip Placement in Patients With Liver Cirrhosis.
32841300,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,"An age-adapted plyometric exercise program improves dynamic strength, jump performance and functional capacity in older "
32859100,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Efficacy of a Multi-component m-Health Weight-loss Intervention in Overweight and Obese Adults: A Randomised Controlled 
32913396,low,0,Journal Article,ambiguous,New dammarane-type triterpenoid saponins from 
32915670,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Feasibility evaluation of psychosocial intervention for internally displaced youth in Kenya.
32992943,high,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,The Effectiveness of Trunk Stabilization Exercise Combined with Vibration for Adolescent Patients with Nonspecific Low B
33033445,low,0,Journal Article,ambiguous,Saliva diagnostic utility in patients with type 2 diabetes: Future standard method.
33044108,some_concerns,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",ambiguous,Orcokinin neuropeptides regulate sleep in 
33192122,high,0,Journal Article,ambiguous,Korean Red Ginseng alleviates dehydroepiandrosterone-induced polycystic ovarian syndrome in rats via its antiinflammator
33206928,some_concerns,0,Clinical Trial; Journal Article,trial,Impact of the promotora model on the improvement of oral health knowledge of caregivers.
33281947,high,0,Journal Article,ambiguous,Surgical treatment of chronic anterior radial head dislocations in missed Monteggia lesions in children: A rationale for
33290346,low,0,Journal Article; Multicenter Study; Randomized Controlled Trial,trial,Preoperative Versus Postoperative Scalp Block Combined With Incision Line Infiltration for Pain Control After Supratento
33653585,high,0,Journal Article,ambiguous,The association between childhood socioeconomic status and adult health behavior: The role of locus of control.
33661592,some_concerns,0,,unknown,
33677113,some_concerns,0,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,"Spa Therapy for the Treatment of Fibromyalgia: An Open, Randomized Multicenter Trial."
33737987,some_concerns,0,Journal Article,ambiguous,Parenting-focused mindfulness intervention reduces stress and improves parenting in highly-stressed mothers of adolescen
33786493,low,0,Journal Article,ambiguous,Advanced Breast Cancer at Diagnosis: Over One Third Adherent to Screening Recommendations.
33907707,high,0,Journal Article,ambiguous,Photobiomodulation therapy for management of inferior alveolar nerve injury post-extraction of impacted lower third mola
34008159,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Mobile Heart Rate Variability Biofeedback as a Complementary Intervention After Myocardial Infarction: a Randomized Cont
34059568,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Effect of adding plyometric training to physical education sessions on specific biomechanical parameters in primary scho
34106239,low,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Effect of Shamiri Layperson-Provided Intervention vs Study Skills Control Intervention for Depression and Anxiety Sympto
34239513,high,0,Journal Article,ambiguous,Improving Hypoxia Adaption Causes Distinct Effects on Growth and Bioactive Compounds Synthesis in an Entomopathogenic Fu
34254179,some_concerns,0,Journal Article; Multicenter Study; Observational Study,ambiguous,Prognostic value of hepatorenal function following transcatheter edge-to-edge mitral valve repair.
34272792,low,0,Journal Article,ambiguous,Cardiac output states in patients with severe functional tricuspid regurgitation: impact on treatment success and progno
34295213,high,0,Journal Article,ambiguous,Phenological growth stages of Korean ginseng (
34368780,high,0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",ambiguous,PAK4 inhibition improves PD-1 blockade immunotherapy.
34379285,some_concerns,0,Journal Article,ambiguous,"Efficacy and Safety Trends with Continuous, Long-Term Crisaborole Use in Patients Aged ≥ 2 Years with Mild-to-Moderate A"
34435694,low,0,Journal Article; Multicenter Study; Randomized Controlled Trial,trial,"A phase 2b, randomized, double-blind, multicenter, vehicle-controlled study to assess the efficacy and safety of two cri"
34667876,some_concerns,0,Journal Article,ambiguous,General orders for the embedded researcher: Moorings for a developing profession.
34712039,some_concerns,0,Journal Article,ambiguous,Trauma Symptoms and Relationship With Child and Family Team Meeting Characteristics and Outcomes in a Statewide System o
34764270,high,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Acute myeloid leukemia maturation lineage influences residual disease and relapse following differentiation therapy.
34790187,some_concerns,0,Journal Article,ambiguous,Cell Division Control Protein 42 Interacts With Hepatitis E Virus Capsid Protein and Participates in Hepatitis E Virus I
34844522,low,0,Journal Article,ambiguous,"Describing Disclosure of Cybervictimization in Adolescents from the United Kingdom: The Role of Age, Gender, Involvement"
34923216,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,WATSU therapy for individuals with Parkinson's disease to improve quality of sleep and quality of life: A randomized con
34950602,some_concerns,0,Case Reports; Journal Article,non_trial,
35057989,low,0,Journal Article,ambiguous,Cardiohepatic Syndrome Is Associated With Poor Prognosis in Patients Undergoing Tricuspid Transcatheter Edge-to-Edge Val
35093272,low,0,Journal Article; Observational Study,ambiguous,Hepatocellular liver injury in hospitalized patients affected by COVID-19: Presence of different risk factors at differe
35100937,low,0,Journal Article,ambiguous,"2-(Naphthalene-2-thio)-5,8-dimethoxy-1,4-naphthoquinone induces apoptosis via ROS-mediated MAPK, AKT, and STAT3 signalin"
35405049,low,0,Journal Article,ambiguous,Validation of salivary glucose as a screening tool of diabetes mellitus.
35409805,low,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Correlations of Salivary and Blood Glucose Levels among Six Saliva Collection Methods.
35444368,some_concerns,0,Journal Article,ambiguous,Effect of Yoga Lifestyle in Patients with Heart Failure: A Randomized Control Trial.
35500949,low,0,"Journal Article; Research Support, Non-U.S. Gov't; Network Meta-Analysis",ambiguous,Cost-Effectiveness of Systemic Treatments for Metastatic Castration-Sensitive Prostate Cancer: An Economic Evaluation Ba
35573886,some_concerns,0,Journal Article; Review,non_trial,"Anti-inflammatory and analgesic properties of Moroccan medicinal plants: Phytochemistry, "
35586562,high,0,Journal Article; Scoping Review,ambiguous,Older people at the beginning of the COVID-19 pandemic: A scoping review.
35615235,some_concerns,0,Journal Article,ambiguous,Outcomes of critically ill COVID-19 patients managed in a high-volume severe respiratory failure and ECMO centre in the 
35660128,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural",trial,The Short-Term Impact of a Combination Intervention on Depressive Symptoms Among School-Going Adolescent Girls in Southw
35719236,low,0,Journal Article; Randomized Controlled Trial,trial,Effects of Sand-Based Plyometric-Jump Training in Combination with Endurance Running on Outdoor or Treadmill Surface on 
35765659,some_concerns,0,Journal Article,ambiguous,"Control and Anticontrol of chaos in Fractional-order models of Diabetes, HIV, Dengue, Migraine, Parkinson's and Ebola Vi"
35859359,some_concerns,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Strategies for Maintaining Friendship in Dementia.
35916749,some_concerns,0,Journal Article,ambiguous,Acute Effects of Different Warm-up Protocols on Sports Performance in Elite Male Collegiate Handball Players.
36015146,high,0,Journal Article,ambiguous,"Improving Aqueous Solubility and In Vitro Pharmacokinetic Properties of the 3-Nitroimidazo[1,2-"
36017205,some_concerns,0,Journal Article,ambiguous,"The comparison of effects of balneotherapy, water-based and land-based exercises on disease activity, symptoms, sleep qu"
36101416,some_concerns,0,Journal Article,ambiguous,Effects of Surface-Type Plyometric Training on Physical Fitness in Schoolchildren of Both Sexes: A Randomized Controlled
36110787,low,0,Journal Article,ambiguous,Effectiveness of Salivary Glucose as a Reliable Alternative in Diagnosis of Type 1 Diabetes Mellitus: A Cross-Sectional 
36112920,high,0,Journal Article,ambiguous,"""Having Pain is Normal"": How Talk about Chronic Pelvic and Genital Pain Reflects Messages from Menarche."
36173874,low,0,,unknown,
36188776,some_concerns,0,Journal Article,ambiguous,Beneficial Effect of Water-Based Exercise Training on Exercise Capacity in COPD Patients-a Pilot Study.
36198385,high,0,Randomized Controlled Trial; Journal Article,trial,Role of a probiotic strain in the modulation of gut microbiota and cytokines in inflammatory bowel disease.
36281678,low,0,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",ambiguous,Sex-Driven Differences in the Effectiveness of Individualized Clinical Management of Alzheimer's Disease Risk.
36354015,high,0,Case Reports; Journal Article,non_trial,Transcatheter mitral valve repair in a liver transplant candidate.
36469960,high,0,"Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't",trial,Analysis of pain intensity and postural control for assessing the efficacy of shock wave therapy and sonotherapy in Achi
36518417,low,0,Journal Article,ambiguous,Comparative Analysis of Fasting Blood Glucose and Salivary Electrolytes Concentrations among Individuals with Type II Di
36579813,low,0,Journal Article,ambiguous,Exploring Factors Associated with Intimate Partner Violence Survivors' Use of Financial Safety Planning Strategies.
36619691,some_concerns,0,Journal Article,ambiguous,Modeling the Marked Presence-only Data: A Case Study of Estimating the Female Sex Worker Size in Malawi.
36712350,high,0,Journal Article,ambiguous,Changes in public-police cooperation following the murder of George Floyd.
36742892,some_concerns,0,Journal Article,ambiguous,Traditional and Coblation Tonsillectomy in Pediatrics Population: A Comparative Study.
36865001,some_concerns,0,Journal Article,ambiguous,Automatic lung segmentation in dynamic thoracic MRI using two-stage deep convolutional neural networks.
36994662,low,0,"Journal Article; Research Support, Non-U.S. Gov't",ambiguous,Cardio-hepatic syndrome in patients undergoing mitral valve transcatheter edge-to-edge repair.
37021171,high,0,Journal Article; Network Meta-Analysis,ambiguous,Different dosing regimens of Tenecteplase in acute ischemic stroke: A network meta-analysis of the clinical evidence.
37039766,some_concerns,0,Journal Article,ambiguous,Estimated age based on exercise stress testing performance outperforms chronological age in predicting mortality.
37154471,low,0,"Randomized Controlled Trial; Multicenter Study; Clinical Trial, Phase III; Journal Article",trial,Efficacy and safety of crisaborole ointment in Chinese and Japanese patients aged ≥2 years with mild-to-moderate atopic 
37184828,low,0,"Randomized Controlled Trial; Clinical Trial, Phase III; Journal Article",trial,"Once-Daily Crisaborole Ointment, 2%, as a Long-Term Maintenance Treatment in Patients Aged ≥ 3 Months with Mild-to-Moder"
37207017,low,0,Journal Article,ambiguous,Methodological considerations for estimating policy effects in the context of co-occurring policies.
37305398,low,0,Journal Article,ambiguous,Long noncoding RNA TFAP2A-AS1 exerts promotive effects in non-small cell lung cancer progression via controlling the mic
37332988,high,0,Journal Article,ambiguous,A preliminary investigation into the impact of shock wave therapy and sonotherapy on postural control of stepping tasks 
37334732,high,0,Multicenter Study; Journal Article,ambiguous,Prevalence of psoriatic arthritis in Chinese population with psoriasis: A multicenter study conducted by experienced rhe
37459248,low,0,"Randomized Controlled Trial; Clinical Trial, Phase II; Journal Article; Research Support, Non-U.S. Gov't",trial,Obexelimab in Systemic Lupus Erythematosus With Exploration of Response Based on Gene Pathway Co-Expression Patterns: A 
37534949,low,0,Journal Article,ambiguous,A descriptive study of treatment-seeking adults with avoidant/restrictive food intake disorder at residential and inpati
37553907,high,0,Journal Article,ambiguous,Assessment of common extensor tendon vascularization using superb microvascular imaging: a potential tool in the evaluat
37609697,low,0,Journal Article,ambiguous,Stressed Blood Volume in Severe Tricuspid Regurgitation: Implications for Transcatheter Treatment.
37726453,some_concerns,0,Journal Article,ambiguous,New perspective on fatigue in hemodialysis patients with preserved ejection fraction: diastolic dysfunction : Fatigue an
37811518,some_concerns,0,Systematic Review; Journal Article,non_trial,Rehabilitation after Repair of Medial Meniscus Posterior Root Tears: A Systematic Review of the Literature.
37863972,some_concerns,0,"Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't",trial,Rapid improvements and subsequent effects in major depressive disorder patients with somatic pain using rTMS combined wi
37906799,high,0,English Abstract; Journal Article,ambiguous,[Monitoring of anticoagulant treatment with Unfractionated Heparin in pediatrics].
38009103,low,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",trial,Evaluating the effect of digital technology on the learning of orthodontic cephalometric measurement.
38083806,some_concerns,0,Randomized Controlled Trial; Journal Article,trial,"The effect of a mindfulness-based intervention on stress overload, depression, and mindfulness among nurses: A randomize"
38137194,some_concerns,0,Journal Article,ambiguous,Reduction and Growth Inhibition of 
38139756,low,0,Journal Article; Review,non_trial,Recent Advancements in Graphene-Based Implantable Electrodes for Neural Recording/Stimulation.
38165336,some_concerns,0,Journal Article,ambiguous,Association Between β-Amyloid Accumulation and Incident Dementia in Individuals 80 Years or Older Without Dementia.
38192586,some_concerns,0,Journal Article,ambiguous,An arts-literacy intervention for adolescent depression and anxiety symptoms: outcomes of a randomised controlled trial 
38274480,some_concerns,0,Journal Article,ambiguous,Anatomical Step-by-Step Dissection of Complex Skull Base Approaches for Trainees: Surgical Anatomy of the Endoscopic End
38312820,high,0,Journal Article,ambiguous,Ultrasound-guided paravertebral nerve block anesthesia for percutaneous endoscopic laser unroofing treatment of symptoma
38406536,low,0,Journal Article,ambiguous,Transcranial Doppler ultrasound velocities in a population of unstudied African children with sickle cell anemia.
38447497,some_concerns,0,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Equivalence Trial",trial,Efficacy of aquatic vs land-based therapy for pain management in women with fibromyalgia: a randomised controlled trial.
38545924,high,0,"Journal Article; Comparative Study; Pragmatic Clinical Trial; Equivalence Trial; Research Support, U.S. Gov't, Non-P.H.S.",trial,"A prospective, pragmatic non-inferiority study of emergency intubation success with the single-use i-view versus standar"
38546803,low,0,Journal Article,ambiguous,Maintenance of Investigator's Static Global Assessment Response with Once-Daily Crisaborole in Participants with Mild to
38602925,high,0,Journal Article,ambiguous,Studying and Learning Psychology During the COVID-19 Pandemic: A Mixed-Methods Approach on Students' Perspectives of Psy
38629627,some_concerns,0,Journal Article,ambiguous,Lifetime and current mental health based on avoidant/restrictive food intake disorder history versus other eating disord
38648166,some_concerns,0,Journal Article; Systematic Review,non_trial,"Evaluation of Masticatory Function, Satisfaction, and Quality of Life Among Users of Complete Dentures Relined with Resi"
38655572,low,0,Case Reports; Journal Article,non_trial,Delayed orbital floor implant complications: Case report and review of the literature.
38666210,some_concerns,0,Journal Article,ambiguous,Patient Perspectives on the Benefits and Challenges of Diabetes and Digital Technology.
38777187,low,0,"Journal Article; Clinical Trial, Phase III; Randomized Controlled Trial; Multicenter Study",trial,Tapinarof cream 1% once daily: Significant efficacy in the treatment of moderate to severe atopic dermatitis in adults a
38798997,low,0,Journal Article,ambiguous,Kailo: a systemic approach to addressing the social determinants of young people's mental health and wellbeing at the lo
38931190,high,0,Journal Article; Randomized Controlled Trial,trial,Effect of the Administration of 
39022141,high,0,Journal Article,ambiguous,Food allergy and asthma.
39022146,high,0,Journal Article,ambiguous,Common food allergens and cross-reactivity.
39055323,high,0,Journal Article,ambiguous,Efficacy of shock wave therapy and ultrasound therapy in non-insertional Achilles tendinopathy: a randomised clinical tr
39131469,some_concerns,0,Journal Article,ambiguous,In-Hospital Outcomes of Transcatheter Tricuspid Valve Repair: An Analysis From the National Inpatient Sample.
39168760,some_concerns,0,Journal Article,ambiguous,Risk factors for early mortality following transcatheter edge-to-edge repair of mitral regurgitation.
39220344,some_concerns,0,Journal Article,ambiguous,"Determinants of Poor Health among Workers in Criminal Justice, Community and Social Services, and Healthcare: Adverse Ch"
39292831,high,0,Case Reports; Letter,non_trial,Effects of 
39295876,low,0,Journal Article; Review,non_trial,Phototherapy and mycosis fungoides: what's new?
39353339,high,0,Journal Article; Randomized Controlled Trial,trial,Post-mechanotherapy differences in postural control in patients with Achilles tendinopathy - A randomized controlled tri
39379599,low,0,Journal Article; Comparative Study,ambiguous,"Damage-associated molecular patterns in bacteraemic infection, including a comparative analysis with bacterial DNA, a pa"
39404158,high,0,Journal Article; Randomized Controlled Trial,trial,The role of training and medication reminder wristwatch in adherence to treatment in geriatric patients diagnosed with h
39472446,high,0,Journal Article; Randomized Controlled Trial,trial,Focused shock wave and ultrasound therapies in the treatment of lateral epicondylitis - a randomized control trial.
39492044,low,0,Journal Article; Case Reports,non_trial,A computer-assisted endodontic access technique to remove fiber posts.
39492525,low,0,Journal Article,ambiguous,Microbial community dynamics and assembly mechanisms across different stages of cyanobacterial bloom in a large freshwat
39525800,some_concerns,0,Journal Article; Review,non_trial,Glucagon-like peptide-1 agonists in cardiovascular diseases: a bibliometric analysis from inception to 2023.
39552818,some_concerns,0,Journal Article,ambiguous,Factors Associated With Child and Youth Mental Health Readmissions From a US National Database.
39555048,low,0,Journal Article,ambiguous,Prevalence and Characterization of Avoidant Restrictive Food Intake Disorder in a Pediatric Population.
39564717,low,0,Journal Article,ambiguous,Comparative evaluation of the efficacy and safety of crisaborole ointment (2%) versus tacrolimus ointment (0.1%) for the
39584122,high,0,Journal Article,ambiguous,"Investigation of the impact of cold plasma pretreatments, long term storage and drying on physicochemical properties, bi"
39609357,low,0,Journal Article,ambiguous,"Anxiety, Obsessive-Compulsive, and Depressive Symptom Presentation and Change Throughout Routine Eating Disorder Treatme"
39635212,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Knowledge and attitude toward intimate partner violence among couples: a baseline findings from cluster randomized contr
39644811,high,0,Journal Article; Systematic Review; Meta-Analysis,non_trial,Outcomes of intraperitoneal chemotherapy for the treatment of gastric cancer with peritoneal metastasis: A comprehensive
39651450,low,0,Journal Article,ambiguous,Asymptotic Distribution-Free Independence Test for High Dimension Data.
39676466,low,0,"Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II; Multicenter Study",trial,"A phase 2, randomized, double-blind, vehicle-controlled trial of tapinarof cream in Japanese pediatric patients with ato"
39691748,high,0,Case Reports; Clinical Trial; Journal Article,ambiguous,"Efficacy of Preemptive Topical Lidocaine 5% Plaster in the Prevention of Post-Craniotomy Pain, a Randomized Clinical Tri"
39774204,high,0,Journal Article,ambiguous,An Analysis of the Association of Whole Blood Transfusion With the Development of Acute Respiratory Distress Syndrome.
39777610,low,0,Journal Article,ambiguous,Tapinarof Improved Outcomes and Sleep for Patients and Families in Two Phase 3 Atopic Dermatitis Trials in Adults and Ch
39808808,high,0,Journal Article,ambiguous,A Kinetic Enhanced Tuck Jump Assessment Exposes Residual Biomechanical Deficits in Female Athletes 9 Months Post Anterio
39873962,low,0,Journal Article; Randomized Controlled Trial,trial,Efficacy and Safety of Proactive Therapy with 2% Crisaborole Ointment in Children with Mild-to-Moderate Atopic Dermatiti
39905419,some_concerns,0,Journal Article; Randomized Controlled Trial,trial,Balneotherapy for the treatment of post-COVID syndrome: a randomized controlled trial.
39925637,high,0,Journal Article,ambiguous,A phase Ib study evaluating the c-MET inhibitor INC280 (capmatinib) in combination with bevacizumab in patients with hig
39960738,some_concerns,0,Journal Article,ambiguous,Mental and Somatic Conditions in Children With the Broad Avoidant Restrictive Food Intake Disorder Phenotype.
40063710,high,0,,unknown,
40101279,high,0,Journal Article,ambiguous,Medical Biorepositories of South Africa: Establishing a Medical Biorepository Network in South Africa to Advance Health 
40191276,low,0,Journal Article,ambiguous,"Persistent Chemicals, Persistent Activism: Scientific Opportunity Structures and Social Movement Organizing on Contamina"
40321310,some_concerns,0,Journal Article,ambiguous,Acute Valve Syndrome in Aortic Stenosis.
40351805,some_concerns,0,Journal Article,ambiguous,Complications and Burden of 2-Stage Tissue Expander to Implant-Based Reconstructive Surgery: A Single-Center Retrospecti
40400775,some_concerns,0,Journal Article,ambiguous,
40417469,some_concerns,0,Journal Article,ambiguous,Boosting Social Determinants of Health Extraction with Semantic Knowledge Augmented Large Language Model.
40584142,high,0,Journal Article,ambiguous,Sense of personal agency towards mitigating the threat of antibiotic resistance: a focus group study with parents of chi
40591800,high,0,,unknown,
40758469,high,0,Journal Article,ambiguous,Differential Outcomes of Indication-Specific Coronary Artery Bypass Grafting in Acute Type A Aortic Dissection.
40778086,low,0,Journal Article,ambiguous,Feature-splitting Algorithms for Ultrahigh Dimensional Quantile Regression.
41190235,some_concerns,0,Journal Article,ambiguous,"Neighborhood Context, Divine Struggles, and Psychological Distress."
41234521,low,0,Journal Article,ambiguous,"The complete mitochondrial genome Hainan Gymnure,  "
41424904,some_concerns,0,Journal Article,ambiguous,Molecular Epidemiology of Multi-Drug Resistant 
41427893,some_concerns,0,Journal Article,ambiguous,Catalytic Asymmetric Carbosilylation of Methyl Propiolate with Bis-silyl Ketene Acetals.
41474125,high,0,Journal Article,ambiguous,Industry Payments Among Oculofacial Plastic Surgeons: An Open Payments Database Analysis.
41530040,low,0,Journal Article,ambiguous,Non-Immunotherapy Arm Allocations in Phase 3 Genitourinary Cancer Trials with Immunotherapy.
41551008,some_concerns,0,Journal Article,ambiguous,Development of a comprehensive cardiovascular disease genetic risk assessment test.
41555492,low,0,Journal Article,ambiguous,Enhancing interpretation of clinical disease-associated copy number variations from multiple sequencing strategies with 
41561097,high,0,Journal Article; Review,non_trial,"Current perspectives on alphavirus encapsidation, assembly and budding."
41599138,low,0,Journal Article,ambiguous,Botanical Nanofiber Wound Dressing Loaded with 
41725673,some_concerns,0,Journal Article,ambiguous,Academics' experiences of work-life balance and work-life conflict in a familialist state: The case of Bosnia and Herzeg
41726410,high,0,Journal Article,ambiguous,Crowdsourcing-Based Knowledge Graph Construction for Drug Side Effects Using Large Language Models with an Application o
41738858,high,0,Journal Article,ambiguous,Exophthalmos and Buphthalmos in Broiler Breeders Associated with Marek's Disease Virus.
41811046,high,0,Journal Article; Case Reports; English Abstract,non_trial,[Analysis of genetic variant and phenotype of a child with Chanarin-Dorfman syndrome].
41834933,high,0,Journal Article,ambiguous,Identification and Characterization of Novel Variants of Fumarylacetoacetate Hydrolase (FAH) Gene in Clinically Suspecte
41836069,low,0,Journal Article,ambiguous,Internalized homophobia and social well-being among Black sexual minority men living with HIV: The mediating role of LGB
41836077,high,0,Journal Article,ambiguous,Fluorine-Thiol Displacement Stapling on the Disordered α
41867898,some_concerns,0,Journal Article; Review,non_trial,Astrocytes: Unveiling their role in the molecular mechanism of natural antidepressants.
7288781,high,0,Journal Article,ambiguous,Glucose concentrations in parotid fluid and venous blood of patients attending a diabetic clinic.
9066316,high,0,Clinical Trial; Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,trial,Comparison of remifentanil and fentanyl in patients undergoing craniotomy for supratentorial space-occupying lesions.
